CÓDIGO,Departamento,Jurisdicción,Cat.,Nro.,NOMBRE,T,CALLE,Nº,CALLE2,Nº2,CALLE3,Nº3,BARRIO / LOCALIDAD,TELEFONO,COMENTARIO,CH,CA,JA,EA,CTR,JTR,ETR,,Ed. Especial,0,,0,,Ed. Especial,0,,0
MONTEVIDEO - HABILITADO_002,MONTEVIDEO,ESTE,HABILITADO,2,BEATA IMELDA,D,Cno. MALDONADO,5853,,,,,BELLA ITALIA,2514 07 62,,0,0,0,0,0,0,0,,,,,,,,,,
MONTEVIDEO - HABILITADO_003,MONTEVIDEO,OESTE,HABILITADO,3,CLARA JACKSON DE HEBER,M,Av. Dr. LUIS A. de HERRERA,4102,Av. Dr. LUIS A. de HERRERA,4142,,,ATAHUALPA,2203 63 20,,0,0,0,0,0,0,0,,,,,,,,,,
MONTEVIDEO - HABILITADO_004,MONTEVIDEO,OESTE,HABILITADO,4,CORAZON DE MARIA,D,Av. Dr. LUIS A. de HERRERA,2920,,,,,LARRAÑAGA,2481 96 57,,0,0,0,0,0,0,0,,,,,,,,,,
MONTEVIDEO - HABILITADO_005,MONTEVIDEO,OESTE,HABILITADO,5,CEN. INT. DE ED. INFANTIL (C.I.E.I.),D,Av. E. GARZON,1717,,,,,COLON CENTRO,2320 12 28,,0,0,0,0,0,0,0,,,,,,,,,,
MONTEVIDEO - HABILITADO_006,MONTEVIDEO,OESTE,HABILITADO,6,LA DIVINA PROVIDENCIA,D,DIONISIO CORONEL,1012,,,,,LA TEJA,2309 38 69,,0,0,0,0,0,0,0,,,,,,,,,,
MONTEVIDEO - HABILITADO_9-10,MONTEVIDEO,CENTRO,HABILITADO,9-10,ELBIO FERNANDEZ,T,MALDONADO,1381,CANELONES,1382,,,CENTRO,2908 39 98,,0,0,0,0,0,0,0,,,,,,,,,,
MONTEVIDEO - HABILITADO_011,MONTEVIDEO,OESTE,HABILITADO,11,EL CARMEN,T,FELIX OLMEDO,3514,,,,,PRADO,2309 34 93,,0,0,0,0,0,0,0,,,,,,,,,,
MONTEVIDEO - HABILITADO_012,MONTEVIDEO,CENTRO,HABILITADO,12,ELISA QUEIROLO DE MAILHOS,M,NORBERTO ORTIZ,3837,,,,,CERRITO ,2215 16 28,,0,0,0,0,0,0,0,,,,,,,,,,
MONTEVIDEO - HABILITADO_014,MONTEVIDEO,CENTRO,HABILITADO,14,CRISTO DIVINO OBRERO,M,ANTILLAS,5475,,,,,CASAVALLE,2222 42 12,,0,0,0,0,0,0,0,,,,,,,,,,
MONTEVIDEO - HABILITADO_017,MONTEVIDEO,CENTRO,HABILITADO,17,INMACULADA CONCEPCION,T,MERCEDES,984,,,,,CENTRO,2902 96 18,,0,0,0,0,0,0,0,,,,,,,,,,
